stack_bytes,mode,descriptor,su_file
64,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_x86_64/mlkem/src/kem.c:210:5:PQCP_MLKEM_NATIVE_MLKEM768_X86_64_keypair_derand,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_x86_64.dir/mlkem-native_ml-kem-768_x86_64/mlkem/src/kem.c.su
64,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/compress.c:135:6:PQCP_MLKEM_NATIVE_MLKEM768_C_poly_compress_d10,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/compress.c.su
56,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c:188:6:PQCP_MLKEM_NATIVE_MLKEM768_C_polyvec_basemul_acc_montgomery_cached,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/poly_k.c.su
56,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/poly.c:456:6:PQCP_MLKEM_NATIVE_MLKEM768_C_poly_ntt,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/poly.c.su
56,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_ref/mlkem/src/poly.c:553:6:PQCP_MLKEM_NATIVE_MLKEM768_C_poly_invntt_tomont,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/mlkem-native_ml-kem-768_ref/mlkem/src/poly.c.su
48,static,/home/home/pqc/liboqs/src/kem/ml_kem/kem_ml_kem_768.c:76:20:OQS_KEM_ml_kem_768_keypair_derand,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/kem_ml_kem_768.c.su
48,static,/home/home/pqc/liboqs/src/kem/ml_kem/kem_ml_kem_768.c:132:20:OQS_KEM_ml_kem_768_encaps_derand,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/kem_ml_kem_768.c.su
48,static,/home/home/pqc/liboqs/src/kem/ml_kem/kem_ml_kem_768.c:160:20:OQS_KEM_ml_kem_768_encaps,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/kem_ml_kem_768.c.su
48,static,/home/home/pqc/liboqs/src/kem/ml_kem/kem_ml_kem_768.c:190:20:OQS_KEM_ml_kem_768_decaps,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_ref.dir/kem_ml_kem_768.c.su
48,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_x86_64/mlkem/src/poly_k.c:47:6:PQCP_MLKEM_NATIVE_MLKEM768_X86_64_polyvec_compress_du,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_x86_64.dir/mlkem-native_ml-kem-768_x86_64/mlkem/src/poly_k.c.su
48,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_x86_64/mlkem/src/poly_k.c:61:6:PQCP_MLKEM_NATIVE_MLKEM768_X86_64_polyvec_decompress_du,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_x86_64.dir/mlkem-native_ml-kem-768_x86_64/mlkem/src/poly_k.c.su
48,static,/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_x86_64/mlkem/src/poly_k.c:79:6:PQCP_MLKEM_NATIVE_MLKEM768_X86_64_polyvec_tobytes,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_x86_64.dir/mlkem-native_ml-kem-768_x86_64/mlkem/src/poly_k.c.su
