stack_bytes,mode,descriptor,su_file
208,static,/home/home/pqc/liboqs/src/common/sha2/sha2_c.c:819:6:oqs_sha2_sha224_c,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/internal.dir/sha2/sha2_c.c.su
208,static,/home/home/pqc/liboqs/src/common/sha2/sha2_c.c:826:6:oqs_sha2_sha256_c,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/internal.dir/sha2/sha2_c.c.su
208,static,/home/home/pqc/liboqs/src/common/sha2/sha2_c.c:833:6:oqs_sha2_sha384_c,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/internal.dir/sha2/sha2_c.c.su
208,static,/home/home/pqc/liboqs/src/common/sha2/sha2_c.c:840:6:oqs_sha2_sha512_c,build-c-rx-kem-s-resource-audit-v1/src/common/CMakeFiles/internal.dir/sha2/sha2_c.c.su
208,static,/home/home/pqc/liboqs/tests/speed_common.c:192:19:speed_shake128,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/speed_common.dir/speed_common.c.su
208,static,/home/home/pqc/liboqs/tests/speed_common.c:219:19:speed_shake256,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/speed_common.dir/speed_common.c.su
208,static,/home/home/pqc/liboqs/tests/kat_sig_stfl.c:155:12:sig_stfl_kat,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/kat_sig_stfl.dir/kat_sig_stfl.c.su
200,static,/home/home/pqc/liboqs/src/common/sha3/xkcp_low/KeccakP-1600/plain-64bits/KeccakP-1600-opt64.c:505:8:KeccakP1600_12rounds_FastLoop_Absorb_plain64,build-c-rx-kem-s-resource-audit-v1/src/common/sha3/xkcp_low/CMakeFiles/xkcp_low_keccakp_1600_plain64.dir/KeccakP-1600/plain-64bits/KeccakP-1600-opt64.c.su
192,"dynamic,bounded",/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_x86_64/mlkem/src/indcpa.c:427:5:PQCP_MLKEM_NATIVE_MLKEM768_X86_64_indcpa_keypair_derand,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_x86_64.dir/mlkem-native_ml-kem-768_x86_64/mlkem/src/indcpa.c.su
192,"dynamic,bounded",/home/home/pqc/liboqs/src/kem/ml_kem/mlkem-native_ml-kem-768_x86_64/mlkem/src/indcpa.c:597:5:PQCP_MLKEM_NATIVE_MLKEM768_X86_64_indcpa_enc,build-c-rx-kem-s-resource-audit-v1/src/kem/ml_kem/CMakeFiles/ml_kem_768_x86_64.dir/mlkem-native_ml-kem-768_x86_64/mlkem/src/indcpa.c.su
192,static,/home/home/pqc/liboqs/tests/test_helpers.c:216:12:test_sig_stfl_bitflip,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_kem.dir/test_helpers.c.su
192,"dynamic,bounded",/home/home/pqc/liboqs/tests/speed_common.c:258:5:main,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/speed_common.dir/speed_common.c.su
192,static,/home/home/pqc/liboqs/tests/test_helpers.c:216:12:test_sig_stfl_bitflip,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_kem_mem.dir/test_helpers.c.su
192,static,/home/home/pqc/liboqs/tests/tmp_store.c:41:19:oqs_fstore,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_kem_mem.dir/test_kem_mem.c.su
192,static,/home/home/pqc/liboqs/tests/tmp_store.c:41:19:oqs_fstore,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_sig_stfl.dir/test_sig_stfl.c.su
192,static,/home/home/pqc/liboqs/tests/test_helpers.c:216:12:test_sig_stfl_bitflip,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_sig_stfl.dir/test_helpers.c.su
192,static,/home/home/pqc/liboqs/tests/test_helpers.c:216:12:test_sig_stfl_bitflip,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/test_sig.dir/test_helpers.c.su
192,static,/home/home/pqc/liboqs/tests/test_helpers.c:216:12:test_sig_stfl_bitflip,build-c-rx-kem-s-resource-audit-v1/tests/CMakeFiles/kat_kem.dir/test_helpers.c.su
