bytes,kind,function,source,line,column,su_file
128,static,PQCP_MLDSA_NATIVE_MLDSA44_X86_64_keypair,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c,696,5,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c.su
112,static,mld_H,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c,742,13,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c.su
112,"dynamic,bounded",PQCP_MLDSA_NATIVE_MLDSA44_C_keypair_internal,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c,593,5,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c.su
112,static,mld_H,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c,742,13,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c.su
96,static,PQCP_MLDSA_NATIVE_MLDSA44_X86_64_pk_from_sk,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c,2199,5,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c.su
80,"dynamic,bounded",OQS_SIG_ml_dsa_44_sign,/home/home/pqc/liboqs/src/sig/ml_dsa/sig_ml_dsa_44.c,77,20,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/sig_ml_dsa_44.c.su
80,static,OQS_SIG_ml_dsa_44_sign_with_ctx_str,/home/home/pqc/liboqs/src/sig/ml_dsa/sig_ml_dsa_44.c,128,20,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/sig_ml_dsa_44.c.su
80,"dynamic,bounded",OQS_SIG_ml_dsa_44_verify,/home/home/pqc/liboqs/src/sig/ml_dsa/sig_ml_dsa_44.c,103,20,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/sig_ml_dsa_44.c.su
80,static,OQS_SIG_ml_dsa_44_verify_with_ctx_str,/home/home/pqc/liboqs/src/sig/ml_dsa/sig_ml_dsa_44.c,154,20,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/sig_ml_dsa_44.c.su
80,"dynamic,bounded",PQCP_MLDSA_NATIVE_MLDSA44_C_open,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c,1909,5,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c.su
80,static,PQCP_MLDSA_NATIVE_MLDSA44_C_pk_from_sk,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c,2199,5,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c.su
80,"dynamic,bounded",PQCP_MLDSA_NATIVE_MLDSA44_X86_64_open,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c,1909,5,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c.su
64,static,PQCP_MLDSA_NATIVE_MLDSA44_C_prepare_domain_separation_prefix,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c,2160,8,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c.su
64,static,PQCP_MLDSA_NATIVE_MLDSA44_C_polyvec_matrix_pointwise_montgomery_yvec_eager,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/polyvec_lazy.c,157,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/polyvec_lazy.c.su
64,static,PQCP_MLDSA_NATIVE_MLDSA44_X86_64_prepare_domain_separation_prefix,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c,2160,8,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c.su
64,static,PQCP_MLDSA_NATIVE_MLDSA44_X86_64_unpack_sk,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/packing.c,63,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/packing.c.su
64,static,PQCP_MLDSA_NATIVE_MLDSA44_X86_64_polyvec_matrix_pointwise_montgomery_yvec_eager,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/polyvec_lazy.c,157,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/polyvec_lazy.c.su
56,static,PQCP_MLDSA_NATIVE_MLDSA44_C_poly_ntt,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/poly.c,319,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/poly.c.su
56,static,PQCP_MLDSA_NATIVE_MLDSA44_C_poly_invntt_tomont,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/poly.c,444,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/poly.c.su
56,static,PQCP_MLDSA_NATIVE_MLDSA44_C_polyt0_pack,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/poly.c,803,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/poly.c.su
56,static,PQCP_MLDSA_NATIVE_MLDSA44_X86_64_polyt0_pack,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/poly.c,803,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/poly.c.su
48,"dynamic,bounded",PQCP_MLDSA_NATIVE_MLDSA44_C_sign,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c,1675,5,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c.su
48,"dynamic,bounded",PQCP_MLDSA_NATIVE_MLDSA44_C_polyvecl_uniform_gamma1,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/polyvec.c,31,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/polyvec.c.su
48,static,PQCP_MLDSA_NATIVE_MLDSA44_C_polyvecl_chknorm,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/polyvec.c,213,10,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/polyvec.c.su
48,static,PQCP_MLDSA_NATIVE_MLDSA44_C_polyveck_chknorm,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/polyvec.c,340,10,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/polyvec.c.su
48,static,PQCP_MLDSA_NATIVE_MLDSA44_C_polyveck_decompose,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/polyvec.c,369,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/polyvec.c.su
48,static,PQCP_MLDSA_NATIVE_MLDSA44_C_polyveck_pack_w1,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/polyvec.c,398,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/polyvec.c.su
48,static,PQCP_MLDSA_NATIVE_MLDSA44_C_polyveck_pack_eta,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/polyvec.c,419,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/polyvec.c.su
48,static,PQCP_MLDSA_NATIVE_MLDSA44_C_polyvecl_pack_eta,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/polyvec.c,436,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/polyvec.c.su
48,static,PQCP_MLDSA_NATIVE_MLDSA44_C_polyvecl_unpack_eta,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/polyvec.c,458,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/polyvec.c.su
48,static,PQCP_MLDSA_NATIVE_MLDSA44_C_polyvecl_unpack_z,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/polyvec.c,475,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/polyvec.c.su
48,static,PQCP_MLDSA_NATIVE_MLDSA44_C_polyveck_unpack_eta,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/polyvec.c,493,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/polyvec.c.su
48,static,PQCP_MLDSA_NATIVE_MLDSA44_C_unpack_sk,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/packing.c,63,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/packing.c.su
48,static,PQCP_MLDSA_NATIVE_MLDSA44_C_polyt0_unpack,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/poly.c,853,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/poly.c.su
48,"dynamic,bounded",PQCP_MLDSA_NATIVE_MLDSA44_X86_64_sign,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c,1675,5,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c.su
48,static,mld_rej_eta.constprop,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/poly_kl.c,278,21,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/poly_kl.c.su
48,"dynamic,bounded",PQCP_MLDSA_NATIVE_MLDSA44_X86_64_polyvecl_uniform_gamma1,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/polyvec.c,31,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/polyvec.c.su
48,static,PQCP_MLDSA_NATIVE_MLDSA44_X86_64_polyvecl_chknorm,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/polyvec.c,213,10,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/polyvec.c.su
48,static,PQCP_MLDSA_NATIVE_MLDSA44_X86_64_polyveck_chknorm,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/polyvec.c,340,10,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/polyvec.c.su
48,static,PQCP_MLDSA_NATIVE_MLDSA44_X86_64_polyveck_decompose,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/polyvec.c,369,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/polyvec.c.su
