bytes,kind,function,source,line,column,su_file
272,static,oqs_aes256_ctr_enc_sch_upd_blks_c,/home/home/pqc/liboqs/src/common/aes/aes_c.c,814,6,src/common/CMakeFiles/common.dir/aes/aes_c.c.su
272,static,crypto_hashblocks_sha512_c.isra,/home/home/pqc/liboqs/src/common/sha2/sha2_c.c,296,15,src/common/CMakeFiles/internal.dir/sha2/sha2_c.c.su
272,static,aes_ctr,/home/home/pqc/liboqs/src/common/aes/aes_c.c,643,13,src/common/CMakeFiles/internal.dir/aes/aes_c.c.su
272,static,oqs_aes128_ctr_enc_sch_upd_blks_c,/home/home/pqc/liboqs/src/common/aes/aes_c.c,798,6,src/common/CMakeFiles/internal.dir/aes/aes_c.c.su
272,static,oqs_aes256_ctr_enc_sch_upd_blks_c,/home/home/pqc/liboqs/src/common/aes/aes_c.c,814,6,src/common/CMakeFiles/internal.dir/aes/aes_c.c.su
256,"dynamic,bounded",PQCP_MLDSA_NATIVE_MLDSA44_C_signature_pre_hash_shake256,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c,2032,5,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c.su
256,static,PQCP_MLDSA_NATIVE_MLDSA44_C_poly_challenge,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/poly_kl.c,563,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/poly_kl.c.su
256,"dynamic,bounded",PQCP_MLDSA_NATIVE_MLDSA44_X86_64_signature_pre_hash_shake256,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c,2032,5,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c.su
256,static,PQCP_MLDSA_NATIVE_MLDSA44_X86_64_poly_challenge,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/poly_kl.c,563,6,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/poly_kl.c.su
256,static,speed_aes128,/home/home/pqc/liboqs/tests/speed_common.c,26,19,tests/CMakeFiles/speed_common.dir/speed_common.c.su
256,static,speed_sha512,/home/home/pqc/liboqs/tests/speed_common.c,143,19,tests/CMakeFiles/speed_common.dir/speed_common.c.su
240,static,oqs_sha2_sha224_c,/home/home/pqc/liboqs/src/common/sha2/sha2_c.c,819,6,src/common/CMakeFiles/common.dir/sha2/sha2_c.c.su
240,static,aes_ecb,/home/home/pqc/liboqs/src/common/aes/aes_c.c,558,13,src/common/CMakeFiles/common.dir/aes/aes_c.c.su
240,static,oqs_aes128_load_schedule_c,/home/home/pqc/liboqs/src/common/aes/aes_c.c,678,6,src/common/CMakeFiles/common.dir/aes/aes_c.c.su
240,static,aes_ecb,/home/home/pqc/liboqs/src/common/aes/aes_c.c,558,13,src/common/CMakeFiles/internal.dir/aes/aes_c.c.su
240,static,oqs_aes128_load_schedule_c,/home/home/pqc/liboqs/src/common/aes/aes_c.c,678,6,src/common/CMakeFiles/internal.dir/aes/aes_c.c.su
240,"dynamic,bounded",PQCP_MLDSA_NATIVE_MLDSA44_C_verify_pre_hash_shake256,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c,2054,5,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c.su
240,"dynamic,bounded",PQCP_MLDSA_NATIVE_MLDSA44_X86_64_verify_pre_hash_shake256,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c,2054,5,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c.su
240,static,kem_test_correctness,/home/home/pqc/liboqs/tests/test_kem.c,113,19,tests/CMakeFiles/test_kem.dir/test_kem.c.su
240,static,speed_sha384,/home/home/pqc/liboqs/tests/speed_common.c,123,19,tests/CMakeFiles/speed_common.dir/speed_common.c.su
240,static,main,/home/home/pqc/liboqs/tests/kat_kem.c,139,5,tests/CMakeFiles/kat_kem.dir/kat_kem.c.su
224,static,oqs_sha2_sha256_inc_finalize_c,/home/home/pqc/liboqs/src/common/sha2/sha2_c.c,683,6,src/common/CMakeFiles/common.dir/sha2/sha2_c.c.su
224,static,oqs_sha2_sha256_inc_finalize_c,/home/home/pqc/liboqs/src/common/sha2/sha2_c.c,683,6,src/common/CMakeFiles/internal.dir/sha2/sha2_c.c.su
224,"dynamic,bounded",PQCP_MLDSA_NATIVE_MLDSA44_C_signature_extmu,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c,1636,5,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_ref.dir/mldsa-native_ml-dsa-44_ref/mldsa/src/sign.c.su
224,"dynamic,bounded",PQCP_MLDSA_NATIVE_MLDSA44_X86_64_signature_extmu,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c,1636,5,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c.su
224,"dynamic,bounded",PQCP_MLDSA_NATIVE_MLDSA44_X86_64_verify_internal,/home/home/pqc/liboqs/src/sig/ml_dsa/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c,1707,5,src/sig/ml_dsa/CMakeFiles/ml_dsa_44_x86_64.dir/mldsa-native_ml-dsa-44_x86_64/mldsa/src/sign.c.su
224,static,main,/home/home/pqc/liboqs/tests/test_kem.c,388,5,tests/CMakeFiles/test_kem.dir/test_kem.c.su
224,"dynamic,bounded",test_sig_bitflip,/home/home/pqc/liboqs/tests/test_helpers.c,172,12,tests/CMakeFiles/test_kem.dir/test_helpers.c.su
224,static,speed_sha256,/home/home/pqc/liboqs/tests/speed_common.c,103,19,tests/CMakeFiles/speed_common.dir/speed_common.c.su
224,"dynamic,bounded",test_sig_bitflip,/home/home/pqc/liboqs/tests/test_helpers.c,172,12,tests/CMakeFiles/test_kem_mem.dir/test_helpers.c.su
224,static,oqs_fload,/home/home/pqc/liboqs/tests/tmp_store.c,57,19,tests/CMakeFiles/test_kem_mem.dir/test_kem_mem.c.su
224,static,oqs_fload,/home/home/pqc/liboqs/tests/tmp_store.c,57,19,tests/CMakeFiles/test_sig_stfl.dir/test_sig_stfl.c.su
